CorrectClass MaxScore MaxScoreClass TrustedVote VoteScore TrustedScore FileName S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9
S1 0.999978 S1 0.800000 0.996156 0.996161 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0384.JPG 0.999978 0.000000 0.000000 0.000000 0.000001 0.000001 0.000001 0.000000 0.000001 0.000000 0.000002 0.000000 0.000000 0.000000 0.000001 0.000001 0.000001 0.000000 0.000007 0.000001 0.000001
S1 0.999992 S1 0.800000 0.996149 0.996154 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0385.JPG 0.999992 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000002 0.000000 0.000000
S1 0.999996 S1 0.800000 0.996153 0.996158 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0386.JPG 0.999996 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000001
S1 0.999950 S1 0.800000 0.996113 0.996118 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0387.JPG 0.999950 0.000000 0.000000 0.000001 0.000002 0.000003 0.000001 0.000000 0.000002 0.000001 0.000003 0.000000 0.000001 0.000000 0.000001 0.000002 0.000001 0.000000 0.000030 0.000002 0.000001
S1 0.999987 S1 0.800000 0.996136 0.996141 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0388.JPG 0.999987 0.000000 0.000000 0.000000 0.000001 0.000001 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000001 0.000000 0.000000 0.000001 0.000001 0.000000 0.000005 0.000001 0.000000
S1 0.999993 S1 0.800000 0.996149 0.996154 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0389.JPG 0.999993 0.000000 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000002 0.000000 0.000000
S1 0.999976 S1 0.800000 0.996143 0.996148 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0390.JPG 0.999976 0.000000 0.000000 0.000000 0.000001 0.000002 0.000001 0.000000 0.000001 0.000001 0.000003 0.000000 0.000000 0.000000 0.000000 0.000001 0.000002 0.000000 0.000009 0.000001 0.000001
S1 0.999992 S1 0.800000 0.996155 0.996159 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0391.JPG 0.999992 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000003 0.000000 0.000001 0.000000 0.000001
S1 0.999996 S1 0.800000 0.996157 0.996161 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0392.JPG 0.999996 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000000
S1 0.999973 S1 0.800000 0.996143 0.996147 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0393.JPG 0.999973 0.000000 0.000000 0.000001 0.000001 0.000002 0.000003 0.000000 0.000003 0.000001 0.000004 0.000000 0.000000 0.000000 0.000001 0.000001 0.000001 0.000000 0.000005 0.000001 0.000002
S1 0.999993 S1 0.800000 0.996156 0.996161 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0394.JPG 0.999993 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000001
S1 0.999996 S1 0.800000 0.996155 0.996160 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0395.JPG 0.999996 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001
S1 0.999967 S1 0.800000 0.996144 0.996148 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0396.JPG 0.999967 0.000000 0.000000 0.000001 0.000002 0.000001 0.000001 0.000000 0.000003 0.000001 0.000004 0.000000 0.000001 0.000001 0.000001 0.000001 0.000003 0.000000 0.000013 0.000001 0.000001
S1 0.999977 S1 0.800000 0.996172 0.996176 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0397.JPG 0.999977 0.000000 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000001 0.000000 0.000000 0.000001 0.000012 0.000000 0.000004 0.000001 0.000000
S1 0.999989 S1 0.800000 0.996158 0.996162 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0398.JPG 0.999989 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000001 0.000003 0.000000 0.000004 0.000000 0.000000
S1 0.999972 S1 0.800000 0.996097 0.996101 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0399.JPG 0.999972 0.000000 0.000000 0.000001 0.000002 0.000001 0.000001 0.000000 0.000001 0.000000 0.000002 0.000000 0.000001 0.000000 0.000001 0.000001 0.000001 0.000000 0.000013 0.000002 0.000001
