
  67×25 table

     TestFolder     Accuracy     BestGuess    GuessScore      S1       S2      S3         S4          S5           S6           S7           S8           S9          S10          S11          S12          S13         S14         S15         S16        S17         S18         S19          S20         S21   
    ____________    _________    _________    __________    _______    __    _______    _______    _________    _________    _________    _________    ________    _________    _________    _________    _________    ________    ________    _______    ________    ________    ________    _________    ________

    "S1/S1GL1"              1      "S1"              1            1    0           0          0            0            0            0            0           0            0            0            0            0           0           0          0           0           0           0            0           0
    "S1/S1HD1"              0      "S19"       0.51205            0    0           0          0      0.39759     0.036145            0            0    0.012048            0     0.042169            0            0           0           0          0           0           0     0.51205            0           0
    "S1/S1HD2"              0      "S12"       0.84146            0    0           0          0            0      0.12805            0            0           0            0            0      0.84146            0    0.030488           0          0           0           0           0            0           0
    "S1/S1MK1"        0.32738      "S3"        0.61905      0.32738    0     0.61905          0            0            0            0            0           0            0     0.053571            0            0           0           0          0           0           0           0            0           0
    "S1/S1MK2"              0      "S3"        0.82143            0    0     0.82143          0     0.017857            0            0            0           0            0      0.16071            0            0           0           0          0           0           0           0            0           0
    "S1/S1MK3"              0      "S3"        0.82955            0    0     0.82955          0     0.045455            0            0            0           0            0        0.125            0            0           0           0          0           0           0           0            0           0
    "S1/S1MK4"         0.9759      "S1"         0.9759       0.9759    0           0          0            0            0            0            0           0            0            0            0            0           0           0          0           0           0    0.024096            0           0
    "S1/S1MK5"              1      "S1"              1            1    0           0          0            0            0            0            0           0            0            0            0            0           0           0          0           0           0           0            0           0
    "S1/S1MK6"              0      "S21"        0.4012            0    0           0          0            0      0.25749      0.02994     0.071856           0            0      0.05988     0.095808            0    0.023952    0.023952          0           0    0.011976           0     0.023952      0.4012
    "S1/S1MK7"              0      "S6"        0.66857            0    0           0          0      0.12571      0.66857            0            0           0            0            0            0            0           0           0          0           0           0     0.20571            0           0
    "S1/S1MK8"        0.12651      "S3"        0.60843      0.12651    0     0.60843          0     0.012048            0            0            0           0            0      0.25301            0            0           0           0          0           0           0           0            0           0
    "S1/S1NM2"              0      "S12"       0.55152            0    0           0          0            0            0     0.066667     0.018182           0            0       0.2303      0.55152            0           0           0          0           0     0.13333           0            0           0
    "S2/S2HD1"              0      "S20"       0.59864            0    0           0          0            0     0.013605            0            0           0            0            0      0.31293            0    0.047619    0.027211          0           0           0           0      0.59864           0
    "S2/S2GL1"              0      "S18"       0.57534            0    0           0          0            0            0            0            0           0            0            0            0            0     0.13014    0.041096          0     0.25342     0.57534           0            0           0
    "S2/S2NM2"              0      "S18"       0.40741            0    0           0          0            0            0            0            0           0            0            0            0            0     0.19753     0.39506          0           0     0.40741           0            0           0
    "S3/S3HD1"              1      "S3"              1            0    0           1          0            0            0            0            0           0            0            0            0            0           0           0          0           0           0           0            0           0
    "S3/S3HD2"              1      "S3"              1            0    0           1          0            0            0            0            0           0            0            0            0            0           0           0          0           0           0           0            0           0
    "S3/S3MK1"              1      "S3"              1            0    0           1          0            0            0            0            0           0            0            0            0            0           0           0          0           0           0           0            0           0
    "S3/S3MK2"              1      "S3"              1            0    0           1          0            0            0            0            0           0            0            0            0            0           0           0          0           0           0           0            0           0
