  67×25 table

     TestFolder     Accuracy    BestGuess    GuessScore       S1           S2           S3           S4           S5           S6           S7           S8          S9         S10         S11          S12          S13          S14          S15         S16         S17          S18         S19          S20          S21   
    ____________    ________    _________    __________    _________    _________    _________    _________    _________    _________    _________    ________    ________    ________    ________    _________    _________    _________    _________    ________    ________    _________    ________    _________    _________

    "S1/S1GL1"             1      "S1"              1              1            0            0            0            0            0            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S1/S1HD1"             0      "S6"        0.79518              0            0            0      0.19277    0.0060241      0.79518            0           0           0           0           0    0.0060241            0            0            0           0           0            0           0            0            0
    "S1/S1HD2"       0.62805      "S1"        0.62805        0.62805            0            0            0            0            0      0.20732    0.073171           0           0           0     0.091463            0            0            0           0           0            0           0            0            0
    "S1/S1MK1"       0.52976      "S1"        0.52976        0.52976            0            0            0            0            0            0           0     0.47024           0           0            0            0            0            0           0           0            0           0            0            0
    "S1/S1MK2"             0      "S9"              1              0            0            0            0            0            0            0           0           1           0           0            0            0            0            0           0           0            0           0            0            0
    "S1/S1MK3"             0      "S9"        0.99432              0            0            0    0.0056818            0            0            0           0     0.99432           0           0            0            0            0            0           0           0            0           0            0            0
    "S1/S1MK4"             1      "S1"              1              1            0            0            0            0            0            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S1/S1MK5"             1      "S1"              1              1            0            0            0            0            0            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S1/S1MK6"       0.88024      "S1"        0.88024        0.88024            0            0            0            0            0     0.083832           0           0           0           0            0            0     0.035928            0           0           0            0           0            0            0
    "S1/S1MK7"             0      "S6"           0.96              0            0            0            0     0.011429         0.96            0           0           0           0           0            0     0.028571            0            0           0           0            0           0            0            0
    "S1/S1MK8"      0.012048      "S9"        0.98795       0.012048            0            0            0            0            0            0           0     0.98795           0           0            0            0            0            0           0           0            0           0            0            0
    "S1/S1NM2"       0.96364      "S1"        0.96364        0.96364            0            0            0            0            0     0.012121           0           0           0           0            0            0     0.024242            0           0           0            0           0            0            0
    "S2/S2HD1"             0      "S7"        0.53061              0            0    0.0068027            0            0            0      0.53061           0           0           0           0     0.034014            0      0.27211            0           0           0      0.14966           0            0    0.0068027
    "S2/S2GL1"             0      "S18"       0.66438              0            0            0            0            0            0    0.0068493           0           0           0           0            0            0      0.24658            0           0    0.027397      0.66438    0.013699            0     0.041096
    "S2/S2NM2"             0      "S18"       0.99383              0            0            0            0            0            0    0.0061728           0           0           0           0            0            0            0            0           0           0      0.99383           0            0            0
    "S3/S3HD1"             1      "S3"              1              0            0            1            0            0            0            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S3/S3HD2"             1      "S3"              1              0            0            1            0            0            0            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S3/S3MK1"             1      "S3"              1              0            0            1            0            0            0            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S3/S3MK2"             1      "S3"              1              0            0            1            0            0            0            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
    "S3/S3MK3"             1      "S3"              1              0            0            1            0            0            0            0           0           0           0           0            0            0            0            0           0           0            0           0            0            0
