  67×25 table

     TestFolder     Accuracy     BestGuess    GuessScore       S1          S2           S3           S4           S5          S6           S7           S8          S9          S10         S11          S12          S13         S14         S15         S16          S17          S18          S19          S20         S21   
    ____________    _________    _________    __________    ________    _________    _________    _________    ________    _________    _________    ________    _________    ________    ________    _________    _________    ________    ________    ________    _________    _________    _________    _________    ________

    "S1/S1GL1"        0.81176      "S1"        0.81176       0.81176            0            0            0     0.12353     0.064706            0           0            0           0           0            0            0           0           0           0            0            0            0            0           0
    "S1/S1HD1"              0      "S5"        0.49398             0            0     0.060241    0.0060241     0.49398            0            0           0            0           0           0            0            0           0           0           0            0            0            0      0.42169    0.018072
    "S1/S1HD2"              0      "S12"       0.96951             0            0            0            0           0            0            0           0            0           0           0      0.96951            0           0           0           0            0            0            0     0.030488           0
    "S1/S1MK1"        0.41071      "S9"        0.42262       0.41071            0     0.011905            0           0            0       0.1369           0      0.42262           0           0            0            0           0           0           0            0            0     0.011905    0.0059524           0
    "S1/S1MK2"       0.047619      "S19"       0.78571      0.047619            0            0            0    0.059524            0            0           0            0           0           0            0            0           0           0           0      0.10714            0      0.78571            0           0
    "S1/S1MK3"       0.039773      "S9"        0.84659      0.039773    0.0056818            0    0.0056818           0      0.10227            0           0      0.84659           0           0            0            0           0           0           0            0            0            0            0           0
    "S1/S1MK4"        0.03012      "S5"        0.93976       0.03012            0            0            0     0.93976            0            0           0            0           0           0            0            0           0           0           0            0            0      0.03012            0           0
    "S1/S1MK5"        0.71006      "S1"        0.71006       0.71006            0            0            0     0.18343      0.10651            0           0            0           0           0            0            0           0           0           0            0            0            0            0           0
    "S1/S1MK6"       0.035928      "S5"        0.62874      0.035928            0     0.005988            0     0.62874            0     0.035928    0.053892            0           0           0      0.13772            0           0           0           0            0            0            0       0.1018           0
    "S1/S1MK7"        0.24571      "S3"        0.25143       0.24571     0.011429      0.25143            0    0.045714            0            0           0      0.16571           0           0            0      0.12571           0           0           0            0            0      0.15429            0           0
    "S1/S1MK8"              0      "S5"        0.49398             0            0            0            0     0.49398            0            0           0            0           0           0            0      0.10843           0           0           0            0      0.03012      0.24699            0     0.12048
    "S1/S1NM2"        0.53939      "S1"        0.53939       0.53939            0            0            0      0.1697            0     0.018182     0.22424            0           0           0            0            0           0           0           0            0            0            0     0.048485           0
    "S2/S2HD1"              0      "S20"       0.47619             0            0      0.10884            0           0            0            0           0            0           0           0            0      0.29932           0           0           0            0      0.10204            0      0.47619    0.013605
    "S2/S2GL1"              0      "S14"       0.60274             0            0            0            0           0      0.39726            0           0            0           0           0            0            0     0.60274           0           0            0            0            0            0           0
    "S2/S2NM2"              0      "S20"       0.81481             0            0    0.0061728     0.055556           0            0     0.049383           0            0    0.074074           0            0            0           0           0           0            0            0            0      0.81481           0
    "S3/S3HD1"        0.33929      "S4"        0.55952             0     0.083333      0.33929      0.55952           0            0            0           0     0.017857           0           0            0            0           0           0           0            0            0            0            0           0
    "S3/S3HD2"      0.0060606      "S13"       0.53939       0.24848     0.018182    0.0060606            0           0            0            0           0            0           0           0            0      0.53939           0           0           0      0.13333            0     0.054545            0           0
